a-bê-cê	abecedário
esborcelar	esbrucinar
esbordoar	rachar
esborniar	frangalhotear
esboroamento	rebentação
esboroar	esbroar
esborrachar	esmurrar
esborro	vertedura
esboçar	idear
esbracejar	espernear
esbrasear-se	ruborizar-se
esbravear	mugir
esbravejar	expluir
esbregue	pito
esbroar	esfarelar
esbulho	espólio
esburacar	furacar
esburaquento	furado
esbórnia	pândega
escabichar	esmerilhar
escabreado	exasperado
escabritar	revoltar
escabritar-se	estomagar-se
escabroso	fragoso
escachar	fender
escadeirar	zurzir
escalar	saquear
escalavradura	escoriação
escalavrar	estrompar
escalda	escaldão
escaldar	incendiar
escaldar-se	penitenciar-se
escalpar	funestar
escalpelizar	rebater
escambado	trocado
escambichar	rachar
escamotar	esponjar
escamotear	unhar
escampar	evadir
escamífero	escamoso
escancarar-se	mostrar-se
escandalizar	ferir
escandalizar-se	picar-se
escandaloso	indecente
escandescer	pruir
escanelado	escanifrado
escangalhado	espedaçado
escaninho	reconditório
escapada	fuga
escapamento	escoamento
escapar	escapar-se
escapar-se	livrar-se
escape	escápole
escapulir	evitar
escapulir-se	livrar-se
escarafunchar	examinar
escarapelar	escarpelar
escarcéu	grita
escarmentar-se	flagelar-se
escarmento	increpação
escarnecedor	irônico
escarnecer	pagodear
escarnecido	escarnido
escarnido	mistificado
escarnificar	setear
escarninho	trocista
escarnir	trotear
escarpamento	talude
escarpelar	esgatanhar
escarranchado	escarrapachado
escarrapachado	esgarranchado
escarrapiçar	pentear
escascar	escovar
escasseado	falho
escassez	míngua
escasso	minguado
escavacar	estroçar
escavar	esvaziar
escavação	poço
esclarecer	interpretar
esclarecido	explicado
escoadura	escorrência
escoicear	respingar
escoicinhador	escouceador
escojuração	jura
escola	imitadores
escolha	indicação
escolher	seletar
escolhido	selecionado
escolho	sirtes
escondedoiro	esconderijo
escondedouro	esconso
esconder	guardar
esconder-se	transpor-se
esconderijo	rincão
escondido	escuso
esconjurar	repelir
esconjurar-se	querelar-se
esconjuro	jura
esconso	reconditório
escopo	mira
escorchar	sobnegar
escoriar	limpar
escorificar	expurgar
escornar	escornichar
escorraçar	espancar
escorregadio	liso
escorregar	falhar
escorregável	resvaladiço
escorregão	escorrego
escorrer	exsudar
escorrência	liqüidez
escorço	rascunho
escouceador	escoucinhador
escovar	increpar
escravizar	tiranizar
escravizar-se	submeter-se
escrever	insculpir
escritório	escrivaninha
escrutável	perscrutável
esculhambar	infecionar
esculpir	talhar
escumante	espumígero
escumoso	espumígero
escupidor	estatuário
escurecer	marear
escurentar	turvar-se
escuridão	negrura
escuro	turvo
escusado	supérfluo
escusar	inocentar
escusar-se	ressalvar-se
escusação	razão
escuso	suspicaz
escusável	supervácuo
escárnio	ludíbrio
escólio	nota
esfacelar	esfrangalhar
esfacelar-se	rebentar-se
esfachear	lascar
esfalecer	esmorecer
esfalfar	matar
esfaqueador	esfaqueante
esfaquear	estoquear
esfarelamento	esmigalhadura
esfarelar	esfarinhar
esfarinhar-se	migar-se
esfarrapado	mal-entrajado
esfarrapamento	rasgamento
esfazer	gastar
esfazer-se	exalar-se
esferal	esférico
esfiar	narrar
esfingético	nebuloso
esfoguear	pruir
esfoguear-se	rosar-se
esfoladela	esfoladura
esfolhar	exterminar
esfomeado	esganado
esfomeação	voracidade
esforçado	estrênuo
esforçar-se	fazer
esforço	luta
esfrangalhar	farrapar
esfrega	ralhação
esfregação	esfregadura
esfriamento	resfriamento
esfriar	ter
esfuziar	vagalumear
esfuzilar	prefulgir
esgadelhado	esgrouviado
esganado	somítico
esgarrar-se	viciar-se
esgoelamento	gritadeira
esgoelar	estrilar
esgotado	moído
esgotamento	esgoto
esgotante	extenuativo
esgote	exaustão
esgravatar	palitar
esgrimir	litigiar
esguichar	espadanar
esmadrigar	perder-se
esmaecer	extinguir-se
esmagar	inquerir
esmaniar	tresvariar
esmeraldear	esverdear
esmerar	esmerar-se
esmerar-se	timbrar
esmerilhar	limar
esmigalhadura	esmigalhamento
esmiudar	perscrutar
esmiuçar	rastejar
esmolambado	pelintra
esmondar	sachar
esmorecer	esvaecer
esmurraçar	esmurregar
espacejar	procrastinar
espacejar-se	estender-se
espadeirada	estocada
espalhafato	vozearia
espalhafatoso	mirabolante
espalhar	juncar
espalhar-se	semear
espanar	espoar
espancar	tundar
espandongar	romper
espanejar	espenejar
espanholada	fanfarronice
espantado	sobressaltado
espantar	surpreender
espantar-se	surpreender-se
espanto	sobressalto
espantoso	horrífero
espargido	vertido
esparramo	pega
esparzir	lançar
espaventar-se	sobressaltar-se
espaventoso	estrondoso
espavorecer	estarrecer
espavorizar	transir
espaçado	espacioso
espaçar	vastar
espaço	trecho
espaçoso	grande
especar	estacar
especificado	minudente
especificador	especificativo
especificar	precisar
especificação	particularização
especioso	vão
espectro	visagem
especular	trabalhar
espedaçado	estroçado
espelhento	luminoso
espenicar-se	ornar-se
espeque	estronca
espera	expectação
esperado	provável
esperança	pensamento
esperar	ficar
esperdiçador	manirroto
esperdiçante	gastador
esperdiçar	prodigalizar
espertalhão	sabido
espertar	sacudir
esperteza	subtilidade
espesso	nubiloso
espetaculosidade	grandiloqüência
espetaculoso	luxuoso
espetar	traspassar
espetro	simulacro
espevitar-se	incitar-se
espezinhado	menosprezado
espezinhar	sobrecarregar
espicaçar	magoar
espigado	graúdo
espigar	prosperar
espinhal	espinheiral
espinhar	exaltar
espinhar-se	fumar
espinho	ferrão
espinicado	janota
espinoteado	estouvanado
espiolhar	vasculhar
espipocar	estralar
espirar	odorar
espiritualmente	mentalmente
espirituoso	facecioso
espirrar	jorrar
espirrar-se	estomagar-se
espirro	esternutação
espiráculo	resfolegadoiro
esplandecer	fulminar
esplendecer	flamejar
esplender	resplender
esplendorar	rutilar
esplêndido	esplendoroso
espoliativo	espoliatório
esponjar	furtar
esporada	ferroada
esporar	prurir
esporear	inflamar
esposar	professar
espostejar	estilhar
espraiar-se	esticar-se
espremer	estringir
espumante	furente
espécia	especiaria
espécie	laia
espículo	pua
espírita	espiritista
esquadrinhar	procurar
esquartejado	retalhado
esquecido	preterido
esquentar	irar
esquerdo	estouvado
esquina	rebarba
esquipado	guarnecido
esquipático	extravagante
esquisitice	exoticidade
esquisito	estranho
esquiva	evasão
esquivar	remediar
esquivar-se	eximir-se
esquírola	estila
essencialidade	necessidade
essência	substância
estabalhoado	estouvado
estabelecer-se	fixar-se
estabelecimento	instauração
estabilidade	firmeza
estabilizar	fixar
estacional	imóvel
estadear	ostentar
estafa	exaustão
estafado	puído
estafar	fadigar
estagnar	imotar
estala	estrebaria
estalador	estralante
estalar	saltar
estalido	traque
estampar-se	patentear-se
estampilhar	portear
estancar	parar
estanciar	habitar
estanciar-se	gasalhar-se
estapafúrdico	estapafúrdio
estaquear	mancar
estarrecer	fulminar
estatelado	imóvel
estatuto	lei
esteio	sustentáculo
esteira	relheira
estendal	varal
estendedouro	varal
estender-se	prolongar-se
estenografado	taquigrafado
estentóreo	estentoroso
esterilidade	pouquidão
esterilizar	exaurir
esterqueiro	monturo
esterroado	estorrado
estertor	sarrido
esticado	retesado
esticar	inteiriçar
esticão	puxada
estigmar	notar
estila	estilha
estilar	gotejar
estilhar	estrinçar
estilhaçar	estilhar
estilizar	sutilizar
estimar	jubilar-se
estimular	impelir
estiolar-se	queimar
estipulação	termos
estirado	tenso
estiraçar	repuxar
estirpe	genealogia
estoirar	estourar
estoiro	trovão
estomagar	melindrar
estomagar-se	torvar-se
estontear	zonzear
estopar	madornar
estorcegar	estrafegar
estorricado	ressequido
estorricar	torrar
estorvar	pejar
estourar	estrugir
estrabar	laxar
estradear	mandar
estragar	traçar
estragar-se	gastar-se
estralar	pipoquear
estralejar	pipoquear
estramontado	sanhoso
estrangeiro	forasteiro
estrangulamento	sufocação
estranhar	ralhar
estraçalhar	estraçoar
estraçalhar-se	romper-se
estrebaria	persigal
estrebuchar-se	remexer-se
estreitar	minuir
estreiteza	penúria
estrelante	rutilante
estrelar	fuzilar
estremecer-se	gelar-se
estrepitoso	soberbo
estriado	zebrado
estriar	raiar
estricto	preciso
estrilar	estrondear
estrinçar	fragmentar
estripar	eviscerar
estripulia	molecagem
estrito	restrito
estroinar	patuscar
estrompar	minar
estrondar	estrondear
estrondear	troar
estrondoso	sumptuoso
estropiador	mutilador
estropiar	tronchar
estrovinhar-se	perturbar-se
estroçar	monotonizar
estrugir	rebombar
estruir	perder
estrábico	vasqueiro
estrépito	ribombo
estudar	habilitar-se
estufa	fogão
estufar-se	tumefazer-se
estugar	provocar
estulto	pateta
estuoso	febricitante
estupefazer	pasmar
estupeficar	pasmar
estupendo	maravilhoso
estupidamente	violentamente
estupidez	parvoíce
estupidificar	materializar
estuporar	perder
estuporar-se	imobilizar-se
esturrar	rugir
estábulo	estala
estímulo	sugestão
estíptico	estítico
esvaecer	expungir
esvaecer-se	esvanecer-se
esvair-se	subtilizar-se
esvanecer-se	evolar-se
esvazar	verter
esvaziamento	vaziamento
esvaziar	vazar
esverdeado	verdolengo
esvoejar	voltejar
eternidade	infinitude
eternizar-se	perpetuar-se
eterno	imperecedoiro
etiqueta	praxe
euforia	júbilo
eufônico	melodioso
eumatia	subtilidade
evadir	zarpar
evadir-se	eximir-se
evaporar	liberar
evasiva	salvatério
evasivo	sutil
eventual	ocasional
everter	soçobrar
evidenciar	expirar
evidenciar-se	patentizar-se
evocação	revocação
evolar-se	liberar
exabundância	prodigalidade
exacerbado	irritado
exacerbar	exasperar
exacerbar-se	malignar
exagerar	rebuscar
exagitar	marfar
exagitar-se	excitar-se
exalar	externar-se
exaltar	vulcanizar
exaltar-se	presumir
examinar	perscrutar
exasperado	furibundo
exasperar-se	irritar-se
exatamente	mesmo
exaurir-se	gastar-se
exaustivo	extenuador
exaustão	sobernal
excecionalidade	originalidade
excedente	sobra
exceder	preceder
excelente	perfeito
excelsitude	pujança
excelência	magnificência
excepcionalmente	extraordinariamente
excerto	extrato
excessividade	superfluidade
excessivismo	redundância
excetiva	reserva
excitação	inquietação
excluso	repelido
exclusão	expulsão
excluído	suprimido
excogitar	pensar
excreção	expulsão
excruciar	torturar
exculpar	exonerar
exculpação	justificativa
execração	raiva
execrável	trasvisto
executar	ocupar
exemplificar	ilustrar
exemplo	lição
exercer	experienciar
exercitar	trenar
exibir	pôr
exibição	ostentação
exigüidade	insuficiência
exilar-se	exular-se
eximir	liberar
existir	ser
exonerar-se	isentar-se
exoneração	isenção
exorar	pedir
expandimento	extroversão
expandir	veicular
expatriado	êxule
expediente	recurso
expedito	lesto
expelido	expirado
expelir	rojar
experienciar	vivenciar
experimentado	matraqueado
experimentar	tentar
experiência	prática
experto	mestre
expiação	purificação
expirar	patentizar
explanativo	explanatório
explicar	instituir
explicar-se	ilustrar-se
explicação	justificativa
explodir	expluir
explorar	lustrar
exploração	parasitismo
expor	submeter
exposição	sujeição
expressar	exprimir
expressão	gesto
exprobar	glosar
expulsar	expungir
expurgar	lavar
exsicar	ressecar
exsolver	liqüidar
exsuar	transudar
exsurgir	levantar
extasiado	pasmo
extensão	força
extenuar	languescer
exterioridade	superficialidade
exterminar	mandar
extinguir	solver
extinção	obliteração
extorquir	roubar
extra-humano	ultra-humano
extra-sensível	ultra-sensível
extrair	intuir
extraordinário	invulgar
extrapassar	sobreexceder
extrato	fragmento
extravaganciar	malbaratar
extravagante	incrível
extravagância	ratada
extravasar	redundar
extraviar	pestear
extraviar-se	perder-se
extremado	supremo
extremar	reduzir
extremar-se	sublimar-se
extremidade	fim
extremismo	radicalismo
exuberar	pulular
exulcerar	ulcerar
exultar	iluminar-se
exíguo	minguado
exímio	preclaro
eônico	eônio
fabricar	imaginar
fabrico	produto
fabular	mangar
fabulizar	petar
fabuloso	quimérico
facalhão	facalhaz
faccionar	insubordinar
facetar	refinar
facetear	motejar
facilitar-se	prestar-se
facioso	sedicioso
faculdade	vantagem
facultoso	opulento
fadário	fortuna
fagueiro	namorado
faina	lide
faiscante	tremeluzente
faiscar	relampadejar
faixa	ligadura
falace	frustratório
falacioso	tunador
falado	insigne
falador	loquaz
falange	multidão
falar	impor
falatório	rumor
falaz	mentido
falcado	falcular
falcatrua	marotagem
falda	sobpé
falecer	necessitar
falecido	morto
falecimento	finamento
falha	imperfeição
falhado	fissurado
falhar	fracassar
falho	lacunar
falseamento	malsinação
falsear	violentar
falta	imperfeição
faltar	tropeçar
falência	falimento
fanado	torrado
fanar	jarretar
faneco	seco
fanfarrada	farelice
fanfarrice	farfalhice
fanfarronar	pespontar
fanfarrão	loroteiro
fanfurrião	farofeiro
fantasista	quimerista
fantasmagoria	visagem
fantochada	fita
fantástico	incomparável
far-niente	ócio
faraônico	luxuoso
farda	uniforme
fardagem	roupagem
farejar	profetar
farelo	rebotalho
farfalhada	rumorejo
farfante	vaniloqüente
farinheiro	farinhudo
farnel	merenda
faro	vento
faroleiro	lanterneiro
farpão	fisga
farra	festança
farraparia	fragalho
farrear	fragalhotear
farronca	roncaria
fartar	mantear
fartar-se	repimpar-se
fascinador	sedutor
fastoso	suntuoso
fastuoso	principesco
fatal	inevitável
fatigante	paulificante
fatigar	flagelar
fatiloqüente	profético
fatiota	indumento
fatura	labor
fatídico	fatiloqüente
fatível	fazível
faustoso	soberbo
faustuoso	soberbo
faveiro	potoqueiro
favor	graça
favorecer	sorrir
favorecer-se	prevalecer-se
favorito	preferido
favorável	pertinente
fazer	praticar
fação	facção
fealdade	feiúra
febril	pirético
fechar	impedir
fecundar	vivificar
fecundidade	uberdade
fecúndia	riqueza
fedegoso	fedorento
feio	insuportável
feiticeira	maga
feitiço	malefício
feição	pinta
fel	travo
felicidade	fortuna
felicitar-se	gratular
fementido	frustratório
feminil	inviril
fenda	rachadela
fender	gretar
fenecer	prontificar
fenecido	torrado
fenomenal	portentoso
feriado	folga
ferida	pústula
ferido	sentido
ferimento	raspão
ferir	vibrar
fermentar	preocupar
fermentáceo	fermentante
feroz	sanguinolento
ferrabrás	mata-mouros
ferrado	recalcitrante
ferramenta	utensílio
ferrar	travar
ferretoar	increpar
ferro-velho	sucata
ferroar	repreender
ferrolhar	subjugar
fertilidade	riqueza
fervilhar	pulular
festeiro	folião
fiada	rosário
fiança	segureza
fibra	força
ficar	valer
ficha	registro
fichamento	registro
fictício	fingido
fidalgaria	nobreza
fiel	sectário
figura	ilustração
figurado	metafórico
figurar	retratar
fila	linha
filhar	filiar
filtrar	procurar
filão	veia
fim	limite
final	improrrogável
finalidade	papel
finar-se	findar
finca-pé	teimosia
fincar	meter
fincar-se	obstinar-se
findar	tornar-se
fineza	penetração
fingidamente	simuladamente
fingir	furtar
finito	limitado
fino	gracioso
finura	sutileza
finório	maquiavélico
firma	rubrica
firmar	prender
firmar-se	fundar-se
firmação	fortalecimento
firme	segurado
firmeza	seguridade
fiscalizar	patrulhar
fiscela	mordaça
fissuramento	gretadura
fitar	olhar
fixador	fixante
fixar	mandar
fixar-se	implantar-se
fixação	gravação
flagelar	varar
flagelar-se	lacerar-se
flagelação	martirização
flagelo	zorrague
flagrar	pegar
flamante	rebrilhoso
flamejar	fulminar
flamífero	flamígero
flamíneo	nítido
flato	flatulência
flatuloso	flatuoso
flatulência	gases
flauteio	trote
flectir-se	fletir-se
flegma	traspasso
flente	lacrimante
fleumático	mole
flexível	maleável
floreado	flóreo
florear	floretear
florescer	vingar
floretear	sobredourar
flutuador	salva-vidas
flutuar	patetear
fluviano	fluviátil
flâmeo	rebrilhoso
